"annotation_id","annotator","created_at","id","lead_time","timeseriesUrl","trend_forecast","updated_at"
54,"1","2024-12-01T16:48:40.099719Z",136,5.624,"/data/upload/3/5fabab61-2024-12-01T154436_other.npy.csv","other","2024-12-01T16:48:40.099740Z"
55,"1","2024-12-01T16:48:48.716069Z",137,7.652,"/data/upload/3/5b190777-2024-12-01T160445_squat.npy.csv","squat","2024-12-01T16:48:48.716087Z"
56,"1","2024-12-01T16:48:52.446110Z",138,2.795,"/data/upload/3/26895628-2024-12-01T162155_other.npy.csv","other","2024-12-01T16:48:52.446134Z"
57,"1","2024-12-01T16:48:57.097079Z",139,3.735,"/data/upload/3/b7271bf9-2024-12-01T160415_squat.npy.csv","squat","2024-12-01T16:48:57.097114Z"
58,"1","2024-12-01T16:49:00.618956Z",140,2.48,"/data/upload/3/2200fbb2-2024-12-01T162541_squat.npy.csv","squat","2024-12-01T16:49:00.618979Z"
59,"1","2024-12-01T16:49:04.395530Z",141,2.815,"/data/upload/3/109dc313-2024-12-01T160425_squat.npy.csv","squat","2024-12-01T16:49:04.395550Z"
60,"1","2024-12-01T16:49:10.500354Z",142,5.113,"/data/upload/3/d95c80a5-2024-12-01T154118_other.npy.csv","other","2024-12-01T16:49:10.500383Z"
61,"1","2024-12-01T16:49:14.587652Z",143,3.228,"/data/upload/3/0a017766-2024-12-01T160504_squat.npy.csv","mixed","2024-12-01T16:49:14.587675Z"
62,"1","2024-12-01T16:49:26.373650Z",144,10.973,"/data/upload/3/2d7c850a-2024-12-01T162640_squat.npy.csv","mixed","2024-12-01T16:49:26.373671Z"
63,"1","2024-12-01T16:49:30.742817Z",145,3.429,"/data/upload/3/49d3bfb7-2024-12-01T153647_other.npy.csv","other","2024-12-01T16:49:30.742837Z"
64,"1","2024-12-01T16:49:34.278092Z",146,2.578,"/data/upload/3/3a9e1ae5-2024-12-01T154427_other.npy.csv","other","2024-12-01T16:49:34.278116Z"
65,"1","2024-12-01T16:49:39.583607Z",147,4.125,"/data/upload/3/5a685628-2024-12-01T153729_other.npy.csv","other","2024-12-01T16:49:39.583626Z"
66,"1","2024-12-01T16:49:43.627384Z",148,3.088,"/data/upload/3/fa070afd-2024-12-01T154407_other.npy.csv","other","2024-12-01T16:49:43.627415Z"
67,"1","2024-12-01T16:50:48.401960Z",149,6.505,"/data/upload/3/53943cc4-2024-12-01T153607_other.npy.csv","other","2024-12-01T16:50:48.401986Z"
68,"1","2024-12-01T16:51:01.990778Z",151,6.135,"/data/upload/3/50cf0f1d-2024-12-01T160737_lunge.npy.csv","lunge","2024-12-01T16:51:01.990809Z"
69,"1","2024-12-01T16:51:05.306586Z",152,2.195,"/data/upload/3/367bb9a4-2024-12-01T160757_lunge.npy.csv","lunge","2024-12-01T16:51:05.306612Z"
70,"1","2024-12-01T16:51:11.683648Z",153,4.712,"/data/upload/3/71605682-2024-12-01T154327_other.npy.csv","other","2024-12-01T16:51:11.683667Z"
71,"1","2024-12-01T16:51:15.973171Z",154,3.177,"/data/upload/3/52fad17a-2000-01-01T000214_lunge.npy.csv","lunge","2024-12-01T16:51:15.973192Z"
72,"1","2024-12-01T16:51:27.162855Z",157,6.69,"/data/upload/3/4163278f-2000-01-01T000224_lunge.npy.csv","lunge","2024-12-01T16:51:27.162879Z"
73,"1","2024-12-01T16:51:32.754956Z",158,4.423,"/data/upload/3/8000dc1d-2000-01-01T000308_squat.npy.csv","squat","2024-12-01T16:51:32.754985Z"
74,"1","2024-12-01T16:51:39.035757Z",159,5.29,"/data/upload/3/ddc61c3b-2024-12-01T154158_other.npy.csv","other","2024-12-01T16:51:39.035776Z"
75,"1","2024-12-01T16:51:58.891750Z",160,19.066,"/data/upload/3/c15c3ef8-2024-12-01T162126_other.npy.csv","other","2024-12-01T16:51:58.891769Z"
76,"1","2024-12-01T16:52:07.626580Z",161,7.998,"/data/upload/3/0a8cb978-2024-12-01T162358_jumpingjack.npy.csv","other","2024-12-01T16:52:07.626607Z"
77,"1","2024-12-01T16:52:11.398579Z",162,2.8,"/data/upload/3/12dfc7ba-2024-12-01T162438_lunge.npy.csv","lunge","2024-12-01T16:52:11.398597Z"
78,"1","2024-12-01T16:52:15.846957Z",163,2.713,"/data/upload/3/d7b90799-2024-12-01T153637_other.npy.csv","other","2024-12-01T16:52:15.846984Z"
79,"1","2024-12-01T16:52:20.272867Z",164,3.173,"/data/upload/3/d2e5c317-2024-12-01T162337_jumpingjack.npy.csv","jumpingjack","2024-12-01T16:52:20.272896Z"
80,"1","2024-12-01T16:52:26.923186Z",165,5.682,"/data/upload/3/f3ab6f35-2000-01-01T000202_other.npy.csv","other","2024-12-01T16:52:26.923217Z"
81,"1","2024-12-01T16:52:31.045193Z",166,3.298,"/data/upload/3/2d2c9388-2024-12-01T153959_other.npy.csv","other","2024-12-01T16:52:31.045212Z"
82,"1","2024-12-01T16:52:34.531193Z",167,2.567,"/data/upload/3/92924cb1-2024-12-01T162215_other.npy.csv","other","2024-12-01T16:52:34.531211Z"
83,"1","2024-12-01T16:52:37.678208Z",168,2.384,"/data/upload/3/62c2b23f-2024-12-01T154138_other.npy.csv","other","2024-12-01T16:52:37.678226Z"
84,"1","2024-12-01T16:52:42.293066Z",169,3.108,"/data/upload/3/40249efb-2000-01-01T000331_jumpingjack.npy.csv","jumpingjack","2024-12-01T16:52:42.293093Z"
85,"1","2024-12-01T16:52:45.500191Z",170,2.183,"/data/upload/3/d2e1321e-2000-01-01T000152_other.npy.csv","other","2024-12-01T16:52:45.500210Z"
86,"1","2024-12-01T16:52:49.740688Z",171,3.5,"/data/upload/3/ff00da9c-2024-12-01T153719_other.npy.csv","other","2024-12-01T16:52:49.740716Z"
87,"1","2024-12-01T16:52:53.340534Z",172,2.786,"/data/upload/3/28cb6011-2024-12-01T162610_squat.npy.csv","squat","2024-12-01T16:52:53.340559Z"
88,"1","2024-12-01T16:52:59.725051Z",173,5.481,"/data/upload/3/fcea4a67-2024-12-01T153706_other.npy.csv","other","2024-12-01T16:52:59.725077Z"
89,"1","2024-12-01T16:53:04.792915Z",174,4.181,"/data/upload/3/d42b8a71-2024-12-01T162348_jumpingjack.npy.csv","jumpingjack","2024-12-01T16:53:04.792936Z"
90,"1","2024-12-01T16:53:14.331070Z",175,8.374,"/data/upload/3/31aa3f7d-2024-12-01T162531_squat.npy.csv","mixed","2024-12-01T16:53:14.331089Z"
91,"1","2024-12-01T17:28:08.864603Z",176,3.427,"/data/upload/3/c042d297-2024-12-01T162317_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:08.864625Z"
92,"1","2024-12-01T17:28:13.319824Z",177,3.407,"/data/upload/3/cc8667c2-2024-12-01T160614_jumpingjack.npy.csv","mixed","2024-12-01T17:28:13.319844Z"
93,"1","2024-12-01T17:28:16.523754Z",178,2.315,"/data/upload/3/22f3a67b-2000-01-01T000351_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:16.523772Z"
94,"1","2024-12-01T17:28:21.080026Z",179,3.56,"/data/upload/3/07cd4855-2000-01-01T000341_jumpingjack.npy.csv","mixed","2024-12-01T17:28:21.080045Z"
95,"1","2024-12-01T17:28:24.774913Z",180,2.734,"/data/upload/3/b0fa2f9b-2024-12-01T160604_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:24.774939Z"
96,"1","2024-12-01T17:28:28.933966Z",181,3.283,"/data/upload/3/ccf5b3d4-2024-12-01T162307_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:28.933992Z"
97,"1","2024-12-01T17:28:38.600107Z",182,4.659,"/data/upload/3/df4d0c79-2024-12-01T162358_jumpingjack.npy.csv","other","2024-12-01T17:28:38.600131Z"
98,"1","2024-12-01T17:28:43.129193Z",183,3.692,"/data/upload/3/e0c85e3d-2024-12-01T162337_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:43.129220Z"
99,"1","2024-12-01T17:28:47.214660Z",184,3.368,"/data/upload/3/9df378bd-2000-01-01T000331_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:47.214690Z"
100,"1","2024-12-01T17:28:51.571520Z",185,2.435,"/data/upload/3/6420cfff-2024-12-01T162348_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:51.571540Z"
101,"1","2024-12-01T17:28:56.128979Z",186,3.007,"/data/upload/3/b9074022-2024-12-01T162327_jumpingjack.npy.csv","other","2024-12-01T17:28:56.129007Z"
102,"1","2024-12-01T17:28:59.185708Z",187,2.259,"/data/upload/3/289c5cba-2000-01-01T000322_jumpingjack.npy.csv","jumpingjack","2024-12-01T17:28:59.185728Z"
